energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-10.530000000000031,-2.7282000000000313,0.12623638103420745
-10.520000000000032,-2.7182000000000315,0.12407532581923654
-10.510000000000032,-2.7082000000000317,0.12153426519751859
-10.500000000000032,-2.698200000000032,0.1186393117773994
-10.490000000000032,-2.688200000000032,0.11541970227941588
-10.480000000000032,-2.6782000000000323,0.11190739971413353
-10.470000000000033,-2.6682000000000325,0.10813667533973954
-10.460000000000033,-2.6582000000000328,0.10414367864025698
-10.450000000000033,-2.648200000000033,0.09996600343046703
-10.440000000000033,-2.638200000000033,0.09564225789407765
-10.430000000000033,-2.6282000000000334,0.09121164590165831
-10.420000000000034,-2.6182000000000336,0.08671356633949538
-10.410000000000034,-2.608200000000034,0.08218723641644132
-10.400000000000034,-2.598200000000034,0.07767134401218004
-10.390000000000034,-2.5882000000000343,0.07320373309993636
-10.380000000000035,-2.5782000000000345,0.0688211251368933
-10.370000000000035,-2.5682000000000347,0.06455887808938589
-10.360000000000035,-2.558200000000035,0.060450783476234476
-10.350000000000035,-2.548200000000035,0.05652890050743996
-10.340000000000035,-2.5382000000000353,0.05282342510773678
-10.330000000000036,-2.5282000000000355,0.04936259039091467
-10.320000000000036,-2.5182000000000357,0.04617259404050712
-10.310000000000036,-2.508200000000036,0.04327754710607774
-10.300000000000036,-2.498200000000036,0.0406994379917123
-10.290000000000036,-2.4882000000000364,0.03845810494077203
-10.280000000000037,-2.4782000000000366,0.03657121014851802
-10.270000000000037,-2.468200000000037,0.03505420879280684
-10.260000000000037,-2.458200000000037,0.03392030678188293
-10.250000000000037,-2.4482000000000372,0.03318040188252103
-10.240000000000038,-2.4382000000000374,0.032843004100763046
-10.230000000000038,-2.4282000000000377,0.03291413271365706
-10.220000000000038,-2.418200000000038,0.033397189148863166
-10.210000000000038,-2.408200000000038,0.03429280691808085
-10.200000000000038,-2.3982000000000383,0.03559868195295036
-10.190000000000039,-2.3882000000000385,0.037309388878360245
-10.180000000000039,-2.3782000000000387,0.03941619088812389
-10.170000000000039,-2.368200000000039,0.04190685285612465
-10.16000000000004,-2.358200000000039,0.044765469015454265
-10.15000000000004,-2.3482000000000394,0.04797231786582274
-10.14000000000004,-2.3382000000000396,0.05150375783178795
-10.13000000000004,-2.32820000000004,0.05533217751168802
-10.12000000000004,-2.31820000000004,0.05942601406933995
-10.11000000000004,-2.30820000000004,0.06374985239087923
-10.10000000000004,-2.2982000000000404,0.06826461604770495
-10.09000000000004,-2.2882000000000406,0.07292785889259529
-10.080000000000041,-2.278200000000041,0.07769416331887305
-10.070000000000041,-2.268200000000041,0.08251564791060031
-10.060000000000041,-2.2582000000000413,0.08734258351097028
-10.050000000000042,-2.2482000000000415,0.09212411276572549
-10.040000000000042,-2.2382000000000417,0.09680906410649744
-10.030000000000042,-2.228200000000042,0.10134684708566118
-10.020000000000042,-2.218200000000042,0.10568841212507171
-10.010000000000042,-2.2082000000000424,0.10978725425887884
-10.000000000000043,-2.1982000000000426,0.11360043748828919
-9.990000000000043,-2.1882000000000428,0.11708961405884781
-9.980000000000043,-2.178200000000043,0.12022201142941506
-9.970000000000043,-2.168200000000043,0.12297135900768112
-9.960000000000043,-2.1582000000000434,0.1253187269271641
-9.950000000000044,-2.1482000000000436,0.12725325024660664
-9.940000000000044,-2.138200000000044,0.12877271393967565
-9.930000000000044,-2.128200000000044,0.1298839768512902
-9.920000000000044,-2.1182000000000443,0.13060321633592814
