energy_absolute_ev,energy_relative_fermi_ev,dos_states_per_ev_per_cell,integrated_states_per_cell
-9.74,-17.542,4.164e-86,9.453e-86
-9.73,-17.532,4.164e-86,9.494e-86
-9.72,-17.522,4.164e-86,9.536e-86
-9.71,-17.512,4.164e-86,9.578e-86
-9.7,-17.502,4.164e-86,9.619e-86
-9.69,-17.491999999999997,4.164e-86,9.661e-86
-9.68,-17.482,4.164e-86,9.702e-86
-9.67,-17.472,4.164e-86,9.744e-86
-9.66,-17.462,4.164e-86,9.786e-86
-9.65,-17.451999999999998,4.164e-86,9.827e-86
-9.64,-17.442,4.164e-86,9.869e-86
-9.63,-17.432000000000002,4.164e-86,9.911e-86
-9.62,-17.421999999999997,4.164e-86,9.952e-86
-9.61,-17.412,4.164e-86,9.994e-86
-9.6,-17.402,4.164e-86,1.004e-85
-9.59,-17.392,4.164e-86,1.008e-85
-9.58,-17.381999999999998,4.164e-86,1.012e-85
-9.57,-17.372,4.164e-86,1.016e-85
-9.56,-17.362000000000002,4.164e-86,1.02e-85
-9.55,-17.352,4.164e-86,1.024e-85
-9.54,-17.342,4.164e-86,1.029e-85
-9.53,-17.332,4.164e-86,1.033e-85
-9.52,-17.322,4.164e-86,1.037e-85
-9.51,-17.311999999999998,4.164e-86,1.041e-85
-9.5,-17.302,4.164e-86,1.045e-85
-9.49,-17.292,4.164e-86,1.049e-85
-9.48,-17.282,4.164e-86,1.054e-85
-9.47,-17.272,4.164e-86,1.058e-85
-9.46,-17.262,4.164e-86,1.062e-85
-9.45,-17.252,4.164e-86,1.066e-85
-9.44,-17.241999999999997,4.164e-86,1.07e-85
-9.43,-17.232,4.164e-86,1.074e-85
-9.42,-17.222,4.164e-86,1.079e-85
-9.41,-17.212,4.164e-86,1.083e-85
-9.4,-17.201999999999998,4.164e-86,1.087e-85
-9.39,-17.192,4.164e-86,1.091e-85
-9.38,-17.182000000000002,4.164e-86,1.095e-85
-9.37,-17.171999999999997,4.164e-86,1.099e-85
-9.36,-17.162,4.164e-86,1.104e-85
-9.35,-17.152,4.164e-86,1.108e-85
-9.34,-17.142,4.164e-86,1.112e-85
-9.33,-17.131999999999998,4.164e-86,1.116e-85
-9.32,-17.122,4.164e-86,1.12e-85
-9.31,-17.112000000000002,4.164e-86,1.124e-85
-9.3,-17.102,4.164e-86,1.128e-85
-9.29,-17.092,4.164e-86,1.133e-85
-9.28,-17.082,4.164e-86,1.137e-85
-9.27,-17.072,4.164e-86,1.141e-85
-9.26,-17.061999999999998,4.164e-86,1.145e-85
-9.25,-17.052,4.164e-86,1.149e-85
-9.24,-17.042,4.164e-86,1.153e-85
-9.23,-17.032,4.164e-86,1.158e-85
-9.22,-17.022,4.164e-86,1.162e-85
